"claim","source_page","status","intended_location"
"The baseline sample runs monthly from January 1988 through February 2026 and contains 458 months.","AI JMP.pdf pp. 28,38; Section 3.1 and Table 4","source_reported_not_independently_replicated","Main pp. 8,14; Appendix pp. 4,8"
"The developed-market universe is the nine non-dollar G10 currencies and the dollar is the numeraire.","AI JMP.pdf p. 28; Section 3.1","source_reported_not_independently_replicated","Main pp. 7-10; Appendix p. 3"
"A fresh crossing observed at t-1, I_i,t-2=0 and I_i,t-1=1, makes the curve live at t; S_t positions or predicts the payoff in t+1.","AI JMP.pdf p. 16; equation (9) and surrounding text","source_reported_timing_corrected_in_v03","Main pp. 3,7-11; Appendix pp. 3-5"
"A live curve is released after two consecutive monthly slope increases and cannot re-enter while continuously inverted.","AI JMP.pdf pp. 16-18; equation (9) and Figure 2","source_reported_not_independently_replicated","Main pp. 8-9; Appendix pp. 3-4"
"The baseline state is active in 92 months grouped into 15 episodes.","AI JMP.pdf pp. 29-30; Sections 3.2 and 3.4","source_reported_not_independently_replicated","Main pp. 1,8,11,14; Appendix pp. 4-5"
"The current two-or-more inversion count is active in 165 months.","AI JMP.pdf p. 29; Section 3.2","source_reported_not_independently_replicated","Main pp. 8-9"
"The state is active in 33 of 84 months in 1988-94 but only 3 of 120 months in 2010-19.","AI JMP.pdf p. 75; Table A.2","source_reported_not_independently_replicated","Appendix p. 4, Table 2"
"The reported real-time audit finds no historical signal/count/own-state changes at 435 truncated month ends and no portfolio-membership mismatches at 492 formation dates.","AI JMP.pdf timing and data-audit discussion; extracted source text","source_reported_not_independently_replicated","Appendix p. 5"
"One additional payoff lag attenuates carry spot from about -12.9 to -6.3 points and high-beta spot from -7.5 to -4.7; forward-shift placebos remove the adverse association.","AI JMP.pdf timing robustness discussion; extracted source text","source_reported_not_independently_replicated","Appendix p. 5"
"The carry income leg averages about 3.9 percent per year and is positive in every month, with a minimum near 0.7 percent per year.","AI JMP.pdf p. 13; Section 2.1","source_reported_not_independently_replicated","Main pp. 7,31"
"Carry spot returns average 2.85 percent per year outside the state and -10.00 percent inside it.","AI JMP.pdf p. 39; Table 4","source_reported_not_independently_replicated","Main pp. 2,14, Table 2"
"Carry total-return proxy means are 6.45 percent outside and -4.86 percent inside the state.","AI JMP.pdf p. 39; Table 4","source_reported_not_independently_replicated","Main pp. 1,14,31, Table 2"
"The carry-spot state difference is -12.85 percentage points per year with episode wild-bootstrap p=0.001.","AI JMP.pdf p. 39; Table 4","source_reported_not_independently_replicated","Main pp. 1-2,14,17,33; Main Tables 2-3"
"The carry-total state difference is -11.31 percentage points per year with episode wild-bootstrap p=0.003.","AI JMP.pdf p. 39; Table 4","source_reported_not_independently_replicated","Main pp. 14,17; Main Tables 2-3"
"Carry total-return Sharpe ratios are 0.89 outside and -0.51 inside the state.","AI JMP.pdf p. 39; Table 4","source_reported_not_independently_replicated","Main p. 15"
"Carry total-return skewness changes from -0.34 to -0.98 and monthly expected shortfall from -4.44 to -7.77 percent.","AI JMP.pdf p. 39; Table 4","source_reported_not_independently_replicated","Main p. 15"
"The monthly carry-spot median changes from 0.35 percent outside to -0.76 percent inside the state.","AI JMP.pdf p. 40; Table 5","source_reported_not_independently_replicated","Main p. 15"
"After deleting each portfolio's full-sample bottom-decile months, carry spot remains -7.24 points with p=0.006 and carry total remains -5.50 with p=0.024.","AI JMP.pdf pp. 39-40; Table 4 and Section 5.2","source_reported_not_independently_replicated","Main p. 15; Appendix p. 8, Table 3"
"The carry-spot variance ratio is 1.74 with permutation p=0.14; the high-beta variance ratio is 1.05 with p=0.80.","AI JMP.pdf p. 40; Section 5.2","source_reported_not_independently_replicated","Main p. 15"
"The high-beta portfolio's bottom-decile frequency is 8.5 percent outside and 16.3 percent inside with p=0.046.","AI JMP.pdf p. 40; Section 5.2","source_reported_not_independently_replicated","Main p. 15"
"The five worst carry months occur under the lagged state and three occur after the current-inversion count has receded.","AI JMP.pdf pp. 3-5; Figure 1 and caption","source_reported_not_independently_replicated","Main pp. 3-4"
"Exactly one live inversion has carry spot and total coefficients of +8.33 and +8.78 points, each against its own complement.","AI JMP.pdf p. 45; Section 6","source_reported_not_independently_replicated","Main pp. 15,17,33; Main Table 3"
"Exactly two live inversions have carry spot and total coefficients of -15.72 and -15.13 points, each against its own complement.","AI JMP.pdf p. 45; Section 6","source_reported_not_independently_replicated","Main pp. 15,17,33; Main Table 3"
