ledger_id,source_pdf,source_page,source_label,kind,source_or_improved_caption_text,crop_box_points,master_asset,companion_asset,sha256_master,reuse_mode,destination_file,destination_label,current_pdf_status,notes,destination_caption_text
crop-001,AI JMP.pdf,5,Figure 1,figure,"The carry trade and the IYC signal: cumulative carry total and spot returns, naive and live inversion counts, signal shading, and lower-tail markers.","82 70 530 424",rewrite/assets/original/figure_01_main.png,rewrite/assets/original/figure_01_main.pdf,4a29e41624c7c148cca44c4e52c71ce22e04eecaae0acd297eda0704480f2bfc,"flattened 400-DPI crop; caption adapted",rewrite/sections/01_introduction.tex,fig:inherited_overview,"included in main PDF; excluded from online appendix","Submission uses the flattened raster crop so hidden text outside the visible source crop cannot enter the PDF; the vector recovery master remains external.","The carry trade and the IYC signal. Top to bottom: the carry portfolio's cumulative total return, its cumulative spot return, and two counts of inverted G10 curves (the nine non-dollar members)---the naive count (light), curves with the 10-year yield below the 2-year this month, and the IYC signal count (dark), the inversions the signal counts, entered fresh and not yet confirmed re-steepened---with the cluster threshold of two dotted. IYC signal episodes are shaded throughout; triangles mark each return series' own bottom-5-percent months (the two sets share 22 of their 23), and black stars mark its bottom-1-percent months, all five of which fall inside the signal's lagged state. Standing naive inversions with no fresh entry are not counted, whereas counted inversions persist through the delivery phase after the naive count has receded. Shading is the information-time state; every regression uses it lagged one month."
crop-002,AI JMP.pdf,18,Figure 2,figure,"One live inversion and what it buys, 2005:07-2008:12: Australian slope, naive/live counts, and carry under the two traded states.","83 73 526 548",rewrite/assets/original/figure_02_main.png,rewrite/assets/original/figure_02_main.pdf,04c2a8bc43e5fd53ea8a6c3c45e1b6d7c6788ae7669bc951583993c7f993fed4,"flattened 400-DPI crop; caption adapted",rewrite/sections/02_setting_measurement.tex,fig:inherited_latch,"included in main PDF; excluded from online appendix","Submission uses the flattened raster crop so hidden text outside the visible source crop cannot enter the PDF; the vector recovery master remains external.","One live inversion and what it buys, 2005:07--2008:12. Panel (a) shows the Australian 10Y--2Y slope. The naive inversion is the grey bar; the live period under the paper's rule is shaded from the month after entry is observed to release after two consecutive steepening months. The curve is released in January 2007 while still inverted and stays naively inverted for another eighteen months. Panel (b) plots the naive inversion count and the IYC live count across the nine curves against the cluster threshold of two. Panel (c) plots the carry trade's cumulative total return (solid) and spot component (dashed), with each traded state lagged one month. From January to June 2007 the naive state is on and the IYC state is off, and carry earns 9.7 percent; in October 2008 the naive state is off while the IYC state remains on, and carry loses 11.6 percent."
crop-003,AI JMP.pdf,25,Figure 3,figure,"Average G10 three-month yield and CPI inflation with downcurve and IYC-signal bands.","88 75 520 280",rewrite/assets/original/figure_03_main.pdf,rewrite/assets/original/figure_03_main.png,230823f39c1c58affb6091a976d351fa6472b3a012167b70b8c5447ef9f30ec1,"verbatim vector crop",audit asset only,,"excluded from both current PDFs","Recovered for audit; not referenced by either current PDF entry point.",
crop-004,AI JMP.pdf,26,Figure 4,figure,"Average G10 yield curves in four signal-by-downcurve cells.","125 88 492 300",rewrite/assets/original/figure_04_main.pdf,rewrite/assets/original/figure_04_main.png,c219d805e0452f9ba095ac1057d5211b878bcc58cf5b5ad724eee319ff7ac4ef,"verbatim vector crop",audit asset only,,"excluded from both current PDFs","Recovered for audit; not referenced by either current PDF entry point.",
crop-005,AI JMP.pdf,33,Figure 5,figure,"On-signal spot effect against predetermined equity beta, with full-signal and non-downcurve fits.","143 75 465 280",rewrite/assets/original/figure_05_main.png,rewrite/assets/original/figure_05_main.pdf,9e1eba001e849343d7e2ab6897703da04259a1d0a477c4c9191111e51ef00626,"flattened 400-DPI crop; caption adapted",rewrite/sections/05_mechanism_model_intuition.tex,fig:inherited_beta_gradient,"included in main PDF; excluded from online appendix","Submission uses the flattened raster crop so hidden text outside the visible source crop cannot enter the PDF; the vector recovery master remains external.","On-signal spot effect against equity beta, one point per currency. Circles and the solid fit use the full signal (slope $-60$, $R^2=0.77$); squares and the dashed fit use non-downcurve signal months (slope $-106$, $R^2=0.84$). Both fitted intercepts are economically near zero. With nine currencies, the fitted lines should be read as descriptive exposure gradients."
crop-006,AI JMP.pdf,37,Figure 6,figure,"What follows a signal month: local projections for industrial production, leading indicator, money-market rates, and carry spot returns.","88 72 523 378",rewrite/assets/original/figure_06_main.png,rewrite/assets/original/figure_06_main.pdf,a0c50db22c145ddf29a3498d5276fe224faa862648e6b66ee43dd237a865b9cc,"flattened 400-DPI crop; caption adapted",rewrite/appendix/C_inherited_robustness.tex,fig:inherited_local_projections,"excluded from main PDF; included in online appendix","The appendix uses the flattened raster crop so hidden text outside the visible source crop cannot enter the PDF; the vector recovery master remains external.","Outcomes following a synchronized-inversion state. The panels show local projections of cumulative changes in G10 industrial production, the OECD composite leading indicator, the average G10 money-market rate, and the carry spot leg. Bands are 90-percent Newey--West intervals; markers denote episode-bootstrap $p<0.10$. Overlapping horizons and persistent states make these supporting temporal associations rather than causal responses."
crop-007,AI JMP.pdf,43,Figure 7,figure,"Cumulative total returns of the five G10 carry strategies in source Table 6.","112 78 500 291",rewrite/assets/original/figure_07_main.pdf,rewrite/assets/original/figure_07_main.png,9e85741ea4e3203a644202a4430601f86e8eb5bf46f4ff572322a8759f18bbbc,"verbatim vector crop",audit asset only,,"excluded from both current PDFs","Recovered for audit; strategy overlay is discussed but not reproduced.",
crop-008,AI JMP.pdf,56,Figure 8,figure,"Cumulative total returns of five G10+EM strategies, 1996:01-2026:02.","95 78 499 313",rewrite/assets/original/figure_08_main.pdf,rewrite/assets/original/figure_08_main.png,b66527c4dc3ec9041e973d41b35ad7c0402f586a5121caf3f64132f02eee6a58,"verbatim vector crop",audit asset only,,"excluded from both current PDFs","Recovered for audit; emerging-market strategy overlay is not reproduced.",
crop-009,AI JMP.pdf,73,Figure A.1,figure,"One-month money-market rates, 1988-2026, for nine non-dollar G10 currencies and the United States.","85 80 520 355",rewrite/assets/original/figure_a01_appendix.pdf,rewrite/assets/original/figure_a01_appendix.png,6b52104a268f0c288382e333695884283111f100b1287a1f2697e3ad4f18f1c9,"verbatim vector crop; caption adapted",rewrite/appendix/G_additional_inherited_exhibits.tex,fig:recovered-rates,"external-only Appendix G; excluded from both current PDFs","Appendix G is not input by main.tex or online_appendix.tex.",
crop-010,AI JMP.pdf,74,Figure A.2,figure,"Real-time expanding-window equity betas with the Figure A.1 currency color scheme.","85 85 522 355",rewrite/assets/original/figure_a02_appendix.pdf,rewrite/assets/original/figure_a02_appendix.png,a95ac44422a9ecceca06f24e67e068e1e95fb25f4a00ec4d4f0c150edc9ee771,"verbatim vector crop; caption adapted",rewrite/appendix/G_additional_inherited_exhibits.tex,fig:recovered-betas,"external-only Appendix G; excluded from both current PDFs","Appendix G is not input by main.tex or online_appendix.tex.",
