transform_id,original_unit,original_pdf_pages,original_role,disposition,rewrite_destination,rewrite_pdf_pages,transformation,reader_facing_status,verification_note
T001,"Title page and abstract","1-2","Frames a broad crash-risk, disaster-risk, mechanism, and hedging agenda",condensed,"Main title page and abstract","Main 1","Retitled around synchronized inversions and currency carry losses; abstract reduced to the predictive result, fifteen-episode inference, and rate/beta ordering",included,"Abstract is 100 words; JEL and keywords form a separate bottom-page block"
T002,"Section 1: Introduction","3-10","Motivates the classifier and presents several coequal applications",rewritten_and_condensed,"Main Section 1","Main 2-5","Reorganized around the measurement problem, timing rule, headline return gap, exposure ordering, falsification evidence, and design risk; repeated roadmap and application material removed",included,"Every retained claim appears before the section map; Section 2 starts on a fresh page"
T003,"Sections 2.1-2.4: return accounting, common exposure, synchronized curves, delayed compensation, and conditional UIP","11-22","Builds accounting identities and a theoretical interpretation",split_and_simplified,"Main Sections 2 and 5; Online Appendix B","Main 6-7 and 18; Appendix 4-6","Main keeps only return accounting, shared exposure, the synchronized state, and one compensation restriction; derivations move online",included,"Original main-text equation sequence is reduced from 17 objects to 8 numbered equations"
T004,"Section 2.5: yield-curve shape and strategy overlay","22-26","Defines downcurve heterogeneity and trading overlays",demoted_and_partly_cut,"Online Appendices B-C","Appendix 6-9","Retains cell means and the inflation-era confound; removes executable-strategy and overlay claims",included_in_narrowed_form,"Downcurve evidence is explicitly exploratory and absent from title and abstract"
T005,"Section 2.6: testable implications","26-27","Lists predictions from the framework",reorganized,"Main Sections 3, 5, and 6","Main 11 and 18-20","Converted broad predictions into failure patterns, competing explanations, and untested prospective checks",included,"No proposition is presented as identified by the return regression"
T006,"Section 3: data and signal construction","28-30","Defines the sample, classifier, state timing, and inference",expanded_for_transparency,"Main Sections 2-3; Online Appendix A","Main 6-11; Appendix 3-4","Separates measurement from estimation; gives the information set, fresh-entry rule, confirmed release, missing-data treatment, and episode inference",included,"Main notation table and appendix transition table use the same timing convention"
T007,"Section 4: rates as exposure to global conditions","31-37","Presents beta ordering, conditional UIP, and macro responses",condensed,"Main Section 5; Online Appendix C","Main 14-18; Appendix 10-12","Promotes the rate-beta alignment and country gradient; moves local-projection figure online; states conditional-UIP and production imprecision directly",included,"Figure 5 is Main Figure 3; Figure 6 is Online Appendix Figure 1"
T008,"Sections 5.1-5.2: conditional moments, state regressions, and tails","38-42","Provides the headline return evidence",retained_and_compressed,"Main Section 4; Online Appendix C","Main 12-14; Appendix 7","Leads with spot and total-return gaps, positive carry income, distribution shift, bottom-decile deletion, synchronization count, and timing",included,"Headline cells are native transcriptions; the full crops remain external"
T009,"Section 5.3: unwind, anti-carry, and overwrite strategies","42-44","Presents trading overlays and performance comparisons",cut,"External ledger only","Not in either PDF","Removes strategies that require feasible forwards, transaction costs, financing, and frozen construction; retains only the exploratory curve-shape evidence online",excluded,"No reader-facing section promises deployable performance"
T010,"Section 6: systemic versus idiosyncratic and U.S. alternatives","45-49","Compares the cluster with own-country, U.S., raw-count, and continuous-slope states",retained_and_compressed,"Main Sections 3-4 and 6; Online Appendix C","Main 10-14 and 20; Appendix 8-9","Integrates the exact-one/exact-two contrast, U.S. benchmark, own-curve horse race, and state-definition perturbations",included,"Synchronization is separated from any claim that one country drives the result"
T011,"Section 7: emerging-market extension","50-51","Applies the G10 state to emerging-market currencies",restored_as_supporting_evidence,"Main Section 5; Online Appendix C","Main 17; Appendix 9-10","Retains pooled spot and total-return estimates as an out-of-construction directional check; removes replication language",included_in_narrowed_form,"Inference is reported as imprecise and the extension is not in the abstract"
T012,"Section 8: G10 plus emerging-market portfolio","52-54","Combines currency universes and adds overlays",partly_restored,"Main Section 5; Online Appendix C","Main 17; Appendix 10","Uses the common-sample spot/total cells to show that similar spot repricing can produce different total returns because carry income differs; cuts overlays",included_in_narrowed_form,"The compensation comparison is descriptive and does not claim a universal negative total return"
T013,"Section 9: stock-market application","55-57","Applies the classifier to equity allocation",cut,"External ledger only","Not in either PDF","Removed because the application is not needed for the international-finance result and its central estimates are weak",excluded,"No equity-allocation or hedging claim remains"
T014,"Section 10: credit and volatility controls","58-60","Tests whether conventional risk measures span the state",condensed,"Main Sections 3-6; Online Appendix C","Main 10-20; Appendix 10","Retains NFCI, VIX, dollar, and FX-volatility comparisons as spanning diagnostics rather than causal decomposition",included,"Controls are not described as identifying the primitive global shock"
T015,"Section 11: robustness summary","61","Summarizes splits, influence, timing, tenor, and term-premium checks",split,"Main Section 6; Online Appendix C","Main 20; Appendix 8-10","Condenses the decision-relevant results and distinguishes exposure robustness from attenuation of the exact carry magnitude",included,"Term-premium and 10Y-3M perturbations are shown together in Appendix Table 5"
T016,"Section 12: conclusion","62-63","Restates the broad agenda",rewritten,"Main Section 7","Main 21","Concludes with the predictive return state, exposure ordering, unresolved shock content, fifteen-episode sample, and fixed prospective test",included,"Contains no self-assessment, publication claim, or new empirical result"
T017,"Reference list","64-71","Academic references",retained,"Main references","Main 22-26","Preserves the complete 84-entry source reference universe without adding academic citations",included,"Automated preflight counts exactly 84 bibliography items"
T018,"Original Appendix A: data appendix","72-75","Documents rates, portfolios, betas, and sample regimes",condensed,"Main Section 2; Online Appendix A","Main 6-9; Appendix 3-4","Retains definitions, timing, portfolio composition facts, and era incidence needed to interpret the estimands",included_in_narrowed_form,"Source Table A.2 is transcribed as Appendix Table 2"
T019,"Original Appendix B: derivations","76-78","Provides formal derivations and threshold arguments",condensed,"Online Appendix B","Appendix 4-6","Keeps accounting, shared exposure, delayed compensation, conditional UIP, and curve-shape definitions; deletes non-discriminating algebra",included_in_narrowed_form,"Strong iid and identical-loading calibration apparatus is excluded"
T020,"Original Appendix C: classifier robustness","79-80","Reports breadth, release, and tenor grids",condensed,"Main Section 6; Online Appendix C","Main 20; Appendix 8-9","Reports nearby-rule behavior and the 10Y-3M attenuation while listing untested multiverse dimensions",included_in_narrowed_form,"No claim is made that all researcher discretion has been enumerated"
T021,"Original Appendix D: current-inversion benchmark","81-84","Compares current inversion counts with the latched classifier",integrated,"Main Sections 1-4; Online Appendix C","Main 2-14; Appendix 8-9","Uses the current/live distinction throughout measurement and evidence; removes repetitive benchmark narration",included,"Main Figures 1-2 visually show the benchmark and release difference"
T022,"Original Appendix E: split samples and influence","85-87","Provides calendar halves and leave-one-episode checks",condensed,"Main Section 6; Online Appendix C","Main 20; Appendix 7-8","Retains split-sample and episode-deletion conclusions; keeps complete crop external",included,"Calendar-half cells are transcribed as Appendix Table 4"
T023,"Original Appendix F: U.S.-inclusive classifier","88","Adds the U.S. curve and/or dollar to construction",external_only,"Copied-material ledger and audit assets","Not in either PDF","Excluded from both reader-facing PDFs under the stated archival boundary",excluded,"Table F.1 remains hashed and mapped externally"
T024,"Original Appendix G: beta-benchmark sensitivity","89","Compares S&P 500 and MSCI World beta sorts",external_only,"Copied-material ledger and audit assets","Not in either PDF","Excluded because the full-sample MSCI estimate is weak; reader-facing results use expanding S&P 500 betas only",excluded,"Table G.1 crop and native transcription remain external"
T025,"Original Appendix H: portfolio composition","91","Reports long/short membership by state",condensed,"Main Section 5","Main 16-17","Uses persistent AUD/NZD long and JPY/CHF funding membership to show that exposure ordering is not mechanically created by rapid portfolio rotation",included_in_prose,"Full Table H.1 remains external"
T026,"Original Appendix I: emerging-market native regime","92","Constructs an emerging-market-specific regime",cut,"External ledger only","Not in either PDF","Removed because it is not an independent validation of the G10 classifier and is not central to the predictive result",excluded,"Table I.1 remains an audit crop"
