ledger_id,original_object,original_pdf_page,original_role,final_disposition,final_destination,final_label_or_form,provenance_class,transformation_reason
O01,"Original equation (1): currency return",11,"Defines currency excess-return proxy",kept,"Main p. 6; Online Appendix B","eq:currency_return; eq:app-accounting",direct_restatement,"Introduces monthly differential d and makes proxy/implementability boundary explicit"
O02,"Original equation (2): carry portfolio and income/spot decomposition",12,"Constructs high-minus-low carry return",kept_and_combined,"Main p. 6; Online Appendix B","eq:carry_return; eq:app-accounting",direct_restatement,"One equation+aligned block replaces two automatically numbered align lines; portfolio sets renamed H and F to avoid collision with live state"
O03,"Original equation (3): expanding equity beta",12,"Constructs predetermined exposure sort",kept,"Main p. 9","eq:currency_beta",direct_restatement,"Uses beta-hat and states that the estimate paired with S_t uses returns through t-1"
O04,"Original equation (4): carry loss iff spot overwhelms income",13,"Break-even accounting identity",made_inline,"Main p. 6; Online Appendix B",inline_restatement,"A one-line implication does not warrant a separate equation number"
O05,"Original equation (5): common/idiosyncratic currency return",13,"Organizes shared exposure",kept_schematically,"Main p. 6; Online Appendix B","eq:factor_decomposition; eq:app-exposure",schematic_restatement,"Uses latent loading lambda and idiosyncratic eta; explicitly not an estimated structural factor"
O06,"Original equation (6): induced portfolio common-factor variance",13,"Formalizes diversification",removed,"External equation ledger only",deleted,"Requires stronger residual-dependence assumptions than the empirical design; economic intuition remains in prose"
O07,"Original equation (7): beta-pricing counterpart",14,"Links beta to pricing",removed,"External equation ledger only",deleted,"Too structural for nine-currency descriptive evidence; replaced by measured beta gradient and existing citations"
O08,"Original equation (8): expectations/term-premium decomposition",15,"Interprets yield slopes",made_prose,"Main p. 7; Online Appendix B",condensed_restatement,"Original display is schematic rather than a literal identity without maturity-specific definitions"
O09,"Original equation (9): live-state recursion and aggregation",16,"Defines path-dependent signal",split,"Main p. 7; Online Appendix A","eq:signal plus transition table",algorithmic_restatement,"Main retains N_t and S_t; appendix gives update order, eligibility, counter, release, and missing-data rules"
O10,"Original equation (10): predetermined forward compensation",19,"Imposes lagged compensation",compressed,"Main p. 18; Online Appendix B","eq:predetermined_compensation; eq:app-compensation",compressed_and_reparameterized,"Preserves earlier-information-set compensation using E_{t-1}[p_t], rather than incorrectly substituting p_{t-1}"
O11,"Original equation (11): frictionless insurance ratio",20,"Relates crash compensation to Euler pricing",made_inline,"Main p. 18; Online Appendix B",condensed_restatement,"Keeps Euler logic inline and drops unnecessary ratio notation"
O12,"Original equation (12): fresh-onset conditional loss",20,"Derives negative expected return after belief innovation",combined,"Main p. 18; Online Appendix B","eq:predetermined_compensation; eq:app-expected-return",algebraic_condensation,"Merged with original equation (10) to show the single conditional-mean restriction"
O13,"Original equation (13): observable compensation ratio",21,"States break-even condition",made_inline_and_appendix,"Main p. 18; Online Appendix B","eq:app-negative-mean",algebraic_restatement,"The appendix retains the exact inequality; main states it inline"
O14,"Original equation (14): conditional Fama mapping",21,"Maps compensation shortfall into UIP slope",demoted,"Online Appendix B","eq:app-fama",empirical_restatement,"Keeps state-specific Fama regression and weak episode inference; removes structural mapping from main"
O15,"Original equation (15): hedge/exit/anti-carry payoffs",22,"Supports strategy overlays",removed,"External audit only",deleted,"Feasible forwards costs and frozen strategy construction are unavailable; strategy overlays are outside the predictive contribution"
O16,"Original equation (16): average yield by maturity",23,"Defines average curve",demoted,"Online Appendix B",inline_definition,"Used only for exploratory downcurve heterogeneity"
O17,"Original equation (17): downcurve inequality",23,"Defines exploratory compensation regime",demoted,"Online Appendix B","eq:app-downcurve",direct_restatement,"Removed from main because it was discovered after inspecting false alarms and is concentrated in two inflation eras"
M06,"Original Table 4 state regression",39,"Estimates active-minus-inactive mean difference",promoted_to_general_equation,"Main p. 10","eq:state_regression",editorial_formalization,"One equation nests headline and controlled specifications under the unified t to t+1 convention"
M07,"Original Table 2/Figure 5 bilateral state regressions",32,"Produces nine currency state coefficients",promoted_to_equation,"Main p. 11","eq:bilateral_state",editorial_formalization,"Makes source of beta-gradient coefficients explicit without adding a generated-regressor second stage"
P01,"Original Assumptions 1-2 and Lemma 1 breadth-sufficiency apparatus","17,77","Provides calibrated/iid rationale for breadth",removed,"External audit only",deleted,"Identical-loading and iid binary-curve assumptions are unnecessary and too strong for empirical identification"
P02,"Original Proposition 5 threshold calibration",78,"Calibrates threshold of two",removed,"External audit only",deleted,"Calibration depends on assumed parameters and can imply a threshold of three; within-sample exact-one/exact-two evidence is reported instead"
D01,"Public-data cut and onset definitions",not_in_original,"Defines reproducible synchronized delivered-easing proxy",added,"Online Appendix D pp. 13-14","eq:public-cuts; eq:public-onset",new_public_analysis,"Equations reproduce implemented 10bp cut threshold, three-country breadth, six-country coverage, and three-month quiet period"
D02,"Public-data event estimands",not_in_original,"Defines code-exact change and cumulative-return responses",added,"Online Appendix D pp. 13-14","eq:public-level-estimand; eq:public-return-estimand",new_public_analysis,"Distinguishes endpoint changes from summed return flows; no claim of original-state replication"
