asset_id,asset_files,label,kind,source_pdf_page,caption,panels,source_object_type,crop_method,resolution,intended_placement,recommendation,evidentiary_status,limitations
figure_01_main,"rewrite/assets/original/figure_01_main.png; rewrite/assets/original/figure_01_main.pdf",Figure 1,figure,5,"The carry trade and the IYC signal. Top to bottom: cumulative total return, cumulative spot return, and the naive and IYC signal counts of inverted non-dollar G10 curves; signal episodes, bottom-5% months, and bottom-1% months are marked.","Three vertically stacked outcomes; not lettered","Flattened raster in the submission; vector recovery master retained externally","400-DPI PNG rendered from the visible crop to prevent hidden source-page text from entering the submission PDF","2490x1968 PNG at 400 DPI; external one-page vector master","main paper","Use the flattened PNG in the submission; recreate from verified data when the author panel becomes available","inherited—not independently replicated","Native LaTeX caption is separate; semantic extraction contains no hidden source caption or prose."
figure_02_main,"rewrite/assets/original/figure_02_main.png; rewrite/assets/original/figure_02_main.pdf",Figure 2,figure,18,"One live inversion and what it buys, 2005:07-2008:12. The Australian 10Y-2Y slope illustrates entry and confirmed exit; the cross-country panel compares naive and live counts; the return panel compares carry performance under the two lagged traded states.","(a) Australia: one naive inversion, one live inversion; (b) Across the nine curves: naive count and live count; (c) The carry trade and the two traded states","Flattened raster in the submission; vector recovery master retained externally","400-DPI PNG rendered from the visible crop to prevent hidden source-page text from entering the submission PDF","2462x2640 PNG at 400 DPI; external one-page vector master","main paper","Use the flattened PNG in the submission; recreate from verified data when the author panel becomes available","inherited—not independently replicated","Dense annotations remain legible at full text width; semantic extraction contains no hidden source caption or prose."
figure_03_main,"rewrite/assets/original/figure_03_main.pdf; rewrite/assets/original/figure_03_main.png",Figure 3,figure,25,"When the downcurve happens. Average G10 three-month yield and CPI inflation, with downcurve months and IYC signal episodes shaded; the two inflation normalizations are annotated.","Single time-series panel","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2401x1140 PNG at 400 DPI; scalable one-page PDF","main paper","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","No extraction defect observed."
figure_04_main,"rewrite/assets/original/figure_04_main.pdf; rewrite/assets/original/figure_04_main.png",Figure 4,figure,26,"Average G10 yield curves by signal state and downcurve regime. Solid lines are the two signal cells, dashed lines the no-signal cells, and points mark 3-month, 2-year, and 10-year average yields.","Single yield-curve panel with four series","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2040x1179 PNG at 400 DPI; scalable one-page PDF","main paper","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","No extraction defect observed."
figure_05_main,"rewrite/assets/original/figure_05_main.png; rewrite/assets/original/figure_05_main.pdf",Figure 5,figure,33,"On-signal spot effect against equity beta, one point per currency. Circles and solid fit show the full signal; squares and dashed fit exclude downcurve months.","Single scatterplot with two fitted relationships","Flattened raster in the submission; vector recovery master retained externally","400-DPI PNG rendered from the visible crop to prevent hidden source-page text from entering the submission PDF","1790x1140 PNG at 400 DPI; external one-page vector master","main paper","Use the flattened PNG in the submission; recreate from verified data when the author panel becomes available","inherited—not independently replicated","Currency labels are preserved at 0.94 text width; semantic extraction contains no hidden source caption or prose."
figure_06_main,"rewrite/assets/original/figure_06_main.png; rewrite/assets/original/figure_06_main.pdf",Figure 6,figure,37,"What follows a signal month. Local projections for G10 industrial production, the G10 leading indicator, the G10 money-market rate, and the cumulative carry spot leg, with 90% Newey-West bands and significance markers.","2x2 panels: industrial production; leading indicator; money-market rate; carry spot leg","Flattened raster in the submission; vector recovery master retained externally","400-DPI PNG rendered from the visible crop to prevent hidden source-page text from entering the submission PDF","2418x1700 PNG at 400 DPI; external one-page vector master","main paper","Use the flattened PNG in the submission; recreate from verified data when the author panel becomes available","inherited—not independently replicated","Confidence bands remain clear at full text width; semantic extraction contains no hidden source caption or prose."
figure_07_main,"rewrite/assets/original/figure_07_main.pdf; rewrite/assets/original/figure_07_main.png",Figure 7,figure,43,"Cumulative total returns of the five carry strategies in Table 6, with IYC signal episodes and downcurve months shaded.","Single time-series panel with five strategies","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2156x1184 PNG at 400 DPI; scalable one-page PDF","main paper","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","Layered translucent bands can produce harmless antialiasing differences across PDF renderers."
figure_08_main,"rewrite/assets/original/figure_08_main.pdf; rewrite/assets/original/figure_08_main.png",Figure 8,figure,56,"Cumulative total returns of the five strategies on the G10+EM portfolio, 1996:01-2026:02, with downcurve months shaded.","Single time-series panel with five strategies","Vector paths plus live PDF text; no raster objects","Vector-preserving PDF page clip excluding the caption; 400-DPI PNG rendered from the identical clip","2246x1306 PNG at 400 DPI; scalable one-page PDF","main paper","Copy temporarily; recreate from verified rewrite data before final submission","inherited—not independently replicated","No extraction defect observed."
table_01_main,"rewrite/assets/original/table_01_main.pdf; rewrite/assets/original/table_01_main.png",Table 1,table,24,"Stylized facts by state. Means are reported across the full sample and signal/downcurve cells, followed by gaps with wild-cluster-bootstrap inference; sample 1988:01-2026:02.","Panel A: means by state; Panel B: gaps","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x2046 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Dense caption and table will require near-full text width."
table_02_main,"rewrite/assets/original/table_02_main.pdf; rewrite/assets/original/table_02_main.png",Table 2,table,32,"The mechanism currency by currency, sorted by beta. Reports rate differential, real-time beta, and on-state spot and total-return effects for the full signal and the two downcurve cells.","Single table; three state column groups","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption, table, and table footer; 400-DPI PNG companion","2646x1912 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Very small body text if placed below full width."
table_03_main,"rewrite/assets/original/table_03_main.pdf; rewrite/assets/original/table_03_main.png",Table 3,table,36,"Fama regressions by state. Per-currency slopes are shown for no-signal, IYC signal, non-downcurve, and downcurve observations, with a pooled fixed-effects row.","Single table with per-currency block and pooled block","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x1957 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Equation glyphs are preserved but text extraction from the source is imperfect; trust the visual asset."
table_04_main,"rewrite/assets/original/table_04_main.pdf; rewrite/assets/original/table_04_main.png",Table 4,table,39,"The carry trade in and out of the IYC signal. Conditional moments and state-dummy effects for carry and high-beta spot and total returns, including non-downcurve, downcurve, and ex-bottom-decile rows.","Four series blocks: carry spot; carry total; high-beta spot; high-beta total","Live PDF text plus vector rules; no raster objects","Vector-preserving PDF page clip including caption and full table; 400-DPI PNG companion","2646x2390 PNG at 400 DPI; scalable one-page PDF","main paper","Rebuild as native LaTeX; crop is audit/temporary-use only","inherited—not independently replicated","Tall and dense; likely needs a landscape or appendix-native rewrite."
