result_id,result_class,paper_location,claim_or_object,input_data,analysis_program,machine_output,paper_asset,test_or_audit,evidentiary_status,caution
SRC-01,source-derived synthesis,"Main pp.16-17; Figure 3 and Table 3","Nine unique reported rules; 8/9 carry and 7/9 beta estimates negative; baseline second-most-negative carry and third-most-negative beta","AI JMP.pdf; research_pipeline/config/source_reported_rule_neighborhood.csv",research_pipeline/src/source_reported_neighborhood.py,"research_pipeline/outputs/v03/source_reported_neighborhood/reported_rule_neighborhood_unique.csv; reported_rule_neighborhood_summary.csv","rewrite/generated/v03_reported_rule_neighborhood.pdf; rewrite/generated/tables/v03_reported_rule_neighborhood.tex",research_pipeline/tests/test_source_reported_neighborhood.py,traceable_source_synthesis,"Displayed reported neighborhood is not a complete historical search universe"
SRC-02,source-derived synthesis,"Main p.15, Section 4.2","Exact-one and exact-two state coefficients have opposite signs","AI JMP.pdf Table 3",manual exact-entry audit,rewrite/notes/v03_table_transcription_checks.md,rewrite/sections/04_main_inherited_evidence.tex,rewrite/notes/source_claim_ledger.csv,traceable_source_estimate,"Each coefficient compares with a different complement; not a direct contrast"
SRC-03,source-derived synthesis,"Main p.14 and pp.31-32","Carry income averages 3.60 outside and 5.14 inside the state; +1.54 pp difference p=.260; insufficient to offset -12.85 spot gap","AI JMP.pdf Table 2",manual exact-entry audit,rewrite/notes/source_claim_ledger.csv,"rewrite/generated/tables/inherited_headline.tex; rewrite/sections/06_compensation.tex",rewrite/notes/v03_table_transcription_checks.md,traceable_source_estimate,"Income difference is imprecise and not identified compensation"
SRC-04,source-derived synthesis,"Main pp.22-23; Table 6","Persistent portfolio cores coexist with state-dependent rotation","AI JMP.pdf Table H.1 p.91",manual exact-entry selection,rewrite/notes/source_claim_ledger.csv,rewrite/generated/tables/v03_portfolio_composition.tex,rewrite/notes/v03_table_transcription_checks.md,traceable_source_estimate,"Selected seven-currency display; exact complete table remains in source and provenance ledger"
SRC-05,source-derived synthesis,"Online Appendix pp.3-5","435 real-time truncation endpoints and 492 membership checks report no mismatches; extra lag attenuates and forward placebos fail","AI JMP.pdf signal and timing audits",manual exact-entry audit,rewrite/notes/source_claim_ledger.csv,rewrite/appendix/A_signal_algorithm.tex,rewrite/notes/v03_source_recovery.md,traceable_source_estimate,"Author code unavailable"
SRC-06,source-derived synthesis,"Online Appendix pp.13-15; Figure 1","Average G10 money-market rate is approximately flat through the event window","AI JMP.pdf Figure 6",flattened source-figure audit,rewrite/assets/original/figure_06_main.png,"rewrite/appendix/C_inherited_robustness.tex; Figure 1",rewrite/notes/figure_provenance.csv,traceable_source_figure,"Descriptive null, not causal evidence"
PUB-01,independent public analysis,"Main p.29 Table 10; Appendix p.17 Table 10","Baseline-like public log spot-return proxy: -3.20 pp; raw rotation reference=.335; 99 active months; 18 episodes","Declared current-vintage OECD yields/interbank rates; BIS policy rates and FX",research_pipeline/src/public_yield_proxy_v03.py,research_pipeline/outputs/v03/yield_proxy/data/baseline_sensitivities.csv,rewrite/generated/tables/v03_public_proxy_summary.tex,"test_public_yield_proxy_v03.py; test_v03_paper_linkage.py",reproduced_public_proxy,"10Y-3M current-vintage proxy; not baseline 10Y-2Y replication"
PUB-02,independent public analysis,"Main pp.28-30; Appendix pp.17-18","41/64 rules negative; baseline rank 22/64; max-|z| rotation reference=1.000; zero rules meet 5% family criterion","Same declared public panel",research_pipeline/src/public_yield_proxy_v03.py,research_pipeline/outputs/v03/yield_proxy/data/specification_family.csv,rewrite/generated/v03_public_specification_curve.png,"test_public_yield_proxy_v03.py::family; run manifest hash",reproduced_public_proxy,"Declared ex-post audit family; family interpretation conditional on cyclic-shift exchangeability"
PUB-03,independent public analysis,"Main p.29 Table 10; Appendix p.17 Table 10 and p.19 discussion","Crisis-episode exclusion -0.46 reference=.826; calendar halves -5.73 reference=.382 and -1.02 reference=.776; delete-five-worst +0.94","Same declared public panel",research_pipeline/src/public_yield_proxy_v03.py,research_pipeline/outputs/v03/yield_proxy/data/baseline_sensitivities.csv,rewrite/generated/tables/v03_public_proxy_summary.tex,test_public_yield_proxy_v03.py,reproduced_public_proxy,"Five-worst deletion is outcome-conditioned and intentionally has no p-value"
PUB-04,independent public analysis,"Appendix p.19 Table 11","All nine joint currency-deletion estimates are negative","Same declared public panel",research_pipeline/src/public_yield_proxy_v03.py,research_pipeline/outputs/v03/yield_proxy/data/leave_one_country_out.csv,rewrite/generated/tables/v03_public_loo_disjoint.tex,test_public_yield_proxy_v03.py,reproduced_public_proxy,"Overlapping samples and calendars; legacy filename contains joint delete-one influence; complete-case rotations compress gaps"
PUB-05,independent public analysis,"Main pp.29-30; Appendix p.19 Table 11","European curves to non-European currencies -15.84 reference=.062; reverse design -0.34 reference=.887","Same declared public panel",research_pipeline/src/public_yield_proxy_v03.py,research_pipeline/outputs/v03/yield_proxy/data/geographically_disjoint.csv,rewrite/generated/tables/v03_public_loo_disjoint.tex,test_public_yield_proxy_v03.py,reproduced_public_proxy,"Asymmetric basket sizes and low episode counts; complete-case sequence references"
PUB-06,independent public analysis,"Appendix p.20 Table 12","Complete 18-episode public-proxy ledger","Same declared public panel",research_pipeline/src/public_yield_proxy_v03.py,research_pipeline/outputs/v03/yield_proxy/data/baseline_episode_ledger.csv,rewrite/generated/tables/v03_public_episode_ledger.tex,"test_public_yield_proxy_v03.py; test_v03_paper_linkage.py",reproduced_public_proxy,"Episode outcomes sum monthly log spot-return proxy observations; public episodes differ from baseline 15 episodes"
PUB-07,independent public analysis,"Appendix pp.20-24; Tables 13-14 and Figure 3","Delivered-easing mechanism outcomes and sensitivity family","Saved BIS policy/FX; FRED ACM/NFCI/VIX/CLI; CFTC",research_pipeline/src/run_mechanism_checks.py,"research_pipeline/outputs/mechanism/tables; research_pipeline/outputs/mechanism/figures; run manifest","rewrite/generated/public_mechanism_checks.tex; public_proxy_sensitivity.tex; public_mechanism_event_study.pdf",research_pipeline/tests/test_mechanism.py,reproduced_public_proxy,"Downstream policy state; cutoff ties equally weighted; none of six primary outcomes meets the 5-percent Holm-adjusted rotation-reference criterion"
PUB-08,independent public analysis,"Appendix pp.25-26; Table 15","CHF-GBP is strongest eligible delivered-easing pair but crisis-sensitive; common-rotation max-|z| reference=.035 under six-event screen","Saved BIS policy/FX",research_pipeline/src/country_combination_proxy.py,research_pipeline/outputs/country_combinations/data/tested_combination_results.csv,rewrite/generated/public_country_combination_proxy.tex,research_pipeline/tests/test_country_combination_proxy.py,reproduced_public_proxy,"Hypothesis-generating screen; cutoff ties equally weighted; family interpretation conditional on cyclic-shift exchangeability; not a yield-curve contributor test"
