object_id,source_object,source_pdf_page,central_content,recommended_disposition,recommended_destination,epistemic_status,key_reason
V001,Figure 1,5,"Carry total/spot timeline; current and live counts; lagged state; tail markers",retain_main,"Introduction Figure 1",source_reported_unreplicated,"Best compact view of state construction and timing; caption must flag historical fit"
V002,Figure 2,18,"Australian live-state example and 2007/2008 current-versus-live comparison",retain_main_or_online,"Measurement Figure 2 or Online Appendix A",source_reported_unreplicated,"Explains path dependence; useful but secondary to configuration horse race"
V003,Figure 3,25,"Average G10 short rate and inflation under downcurve/state bands",demote,"Exploratory online appendix",source_reported_exploratory,"Downcurve selected from false alarms and concentrated in two eras"
V004,Figure 4,26,"Average yield curves in state-by-downcurve cells",demote,"Exploratory online appendix",source_reported_exploratory,"Descriptive curve-shape evidence not central configuration evidence"
V005,Figure 5,33,"Bilateral state coefficients versus S&P equity beta",retain_main,"Exposure-ordering figure",source_reported_descriptive,"Central exposure gradient; nine observations and no uncertainty region"
V006,Figure 6,37,"Local projections of activity rates and carry spot",demote,"Online appendix macro timing",source_reported_supporting,"Leading indicator robust; industrial production not robust to full controls"
V007,Figure 7,43,"Cumulative returns of five G10 strategies",reject,"No reader-facing destination",source_reported_nonexecutible,"Trading overlays lack feasible forwards costs and frozen construction"
V008,Figure 8,56,"Cumulative returns of G10-plus-EM strategies",reject,"No reader-facing destination",source_reported_nonexecutible,"Broadens into strategy performance without implementation evidence"
T001,Table 1,24,"Rates inflation and carry means by signal/downcurve state",demote_selected,"Accounting table selected cells; downcurve rows online",source_reported_unreplicated,"Income/spot/total accounting useful; downcurve mechanism exploratory"
T002,Table 2,32,"Currency rates betas and state coefficients",retain_main,"Exposure-ordering table",source_reported_unreplicated,"Core country-level evidence and exact beta gradient inputs"
T003,Table 3,36,"Conditional Fama regressions",demote,"Online appendix",source_reported_imprecise,"Interaction has episode-bootstrap p=0.340"
T004,Table 4,39,"Headline conditional moments and state effects",retain_main,"Headline return table",source_reported_unreplicated,"Core spot and total return evidence"
T005,Table 5,40,"Conditional quantiles volatility and skewness",condense,"Distribution table main; full online",source_reported_unreplicated,"Shows broad shift; avoid elevating outcome-selected tail diagnostics"
T006,Table 6,42,"Five signal-based trading strategies",reject,"No reader-facing destination",source_reported_nonexecutible,"Implementation and search problems overwhelm contribution"
T007,Table 7,47,"Portfolio horse race with average slope U.S. inversion and nine own states",restore_promote,"Main synchronization-versus-nearby-states table",source_reported_unreplicated,"Most direct omitted evidence for cross-country configuration"
T008,Table 8,49,"Bilateral own-state versus cluster and own-curve controls",restore_promote,"Main exposure section summary; full online",source_reported_not_loo,"Closest source evidence to LOO but cluster includes own curve"
T009,Table 9,50,"Seven EM bilateral state coefficients",condense,"Main breadth sentence; full online",source_reported_supporting,"All signs negative; not independent dates"
T010,Table 10,51,"EM pooled state and current-count comparisons",condense,"Online appendix exposure breadth",source_reported_imprecise,"Pooled spot p=0.104 and total p=0.079"
T011,Table 11,53,"G10 and G10-plus-EM conditional moments",condense,"Online appendix compensation comparison",source_reported_unreplicated,"Similar spot loss but different income and total outcome"
